pc4,stedelijkheid,third_places_total_ranked,third_places_non_medical_total_ranked,third_places_medical_ranked,third_places_food_beverage_ranked,third_places_retail_ranked,third_places_community_ranked,third_places_cultural_ranked,third_places_sport_leisure_ranked,third_places_non_medical_non_retail_total_ranked,third_places_total_ranked_by_urbanisation,third_places_non_medical_total_ranked_by_urbanisation,third_places_medical_ranked_by_urbanisation,third_places_food_beverage_ranked_by_urbanisation,third_places_retail_ranked_by_urbanisation,third_places_community_ranked_by_urbanisation,third_places_cultural_ranked_by_urbanisation,third_places_sport_leisure_ranked_by_urbanisation,third_places_non_medical_non_retail_total_ranked_by_urbanisation
4415,5,8.817709621568143,7.763629620472247,12.189980158730158,17.156607700312172,9.50408035153798,0.0,0.0,6.817613209907431,6.233734043871608,17.406749555950267,15.369008369261984,24.056122448979593,32.36688040144968,18.969126111983257,0.0,0.0,13.57736240913811,12.359836901121305
4416,5,54.77368290873114,60.82334033873161,47.89186507936508,60.91311134235172,67.65850596359071,82.94353275617004,19.132917964693664,46.334751063297475,54.058743338703685,92.0832276072063,93.8879026122242,85.81632653061224,90.24254251463618,96.93877551020408,97.64998617638926,36.57381615598886,81.12668743509866,88.81243628950051
4417,5,38.7459807073955,38.645073556681915,40.426587301587304,38.943808532778355,41.15505335844319,27.510014213722705,27.12876427829699,40.71803852889667,36.472921055892925,71.98680537934534,70.83439005833122,74.82142857142857,67.82826874825759,75.11773940345368,49.40558473873376,50.64066852367688,73.26064382139148,66.33537206931702
4421,4,83.09423695275785,85.84497465694153,79.61309523809523,66.35015608740895,89.8556183301946,93.60382478356377,77.297507788162,76.65749311983988,78.3120584954765,84.60820895522389,84.79477611940298,83.0999066293184,55.23809523809524,91.04477611940298,87.54716981132076,78.1042654028436,68.03738317757009,71.54850746268657
4423,5,15.767994063814001,15.725058721720856,17.683531746031747,9.482310093652444,17.991211550533585,15.221604858508853,10.033748701973002,15.32399299474606,14.066179204362376,30.677493022075613,30.535125538929748,34.38775510204082,18.037357122943966,34.903192046049185,29.029582526956045,19.554317548746518,29.646936656282453,27.344546381243628
4424,5,58.61983675488499,64.21065644702682,53.273809523809526,74.3366285119667,60.69052102950408,82.94353275617004,47.2871235721703,62.82211658744058,67.02193580369314,94.44303476275057,95.86609180826781,91.78571428571428,97.18427655422359,93.92987964416535,97.64998617638926,81.03064066852367,94.26272066458982,96.48318042813455
4431,5,54.77368290873114,52.379775003090614,58.792162698412696,29.812695109261185,62.209667294413066,71.48210363096007,19.132917964693664,37.55316487365524,41.60366836039162,92.0832276072063,87.9786964240426,95.53571428571429,54.22358516866462,94.76713762428048,93.7517279513409,36.57381615598886,68.50986500519211,74.26095820591233
4433,5,25.191689339599304,24.3046112003956,27.294146825396826,9.482310093652444,25.976145637162585,32.704483783434554,10.033748701973002,25.13134851138354,22.642210930722516,48.46485663537173,46.1577479076845,52.21938775510204,18.037357122943966,49.9476713762428,56.92562897428809,19.554317548746518,47.30010384215992,42.991845056065245
4434,5,31.288647044274054,34.83743355173693,22.780257936507937,17.156607700312172,34.965473948524796,37.49838480423827,33.57995846313603,39.166875156367276,34.78745817325567,59.52803856889114,64.79837687040325,43.92857142857143,32.36688040144968,65.56776556776556,63.56096212330661,61.532033426183844,71.00207684319834,63.73598369011213
4435,5,17.37571110561464,18.803313141303004,16.36904761904762,23.959417273673257,14.28750784682988,27.510014213722705,10.033748701973002,20.740555416562422,21.415293097038045,33.747779751332146,36.21607912756784,31.98979591836735,44.410370783384444,27.995813710099426,49.40558473873376,19.554317548746518,39.51194184839045,40.80020387359837
4436,5,27.009646302250808,26.863641982939797,28.422619047619047,9.482310093652444,24.607658505963588,41.62036438816384,27.12876427829699,27.107830873154864,28.144751518155903,51.839634610504945,50.951052498097894,54.31122448979592,18.037357122943966,47.43589743589743,68.59275642797898,50.64066852367688,50.77881619937694,52.31906218144751
